Framework,Eval Script,Optimal Script,Avg Row Similarity,Avg Column Similarity
1,0,0,0.148,0.153
1,0,1,0.257,0.262
1,0,2,0.257,0.248
1,0,3,0.221,0.154
1,0,4,0.243,0.299
1,0,5,0.217,0.248
1,0,6,0.161,0.194
1,0,7,0.142,0.144
1,0,8,0.188,0.131
1,0,9,0.356,0.281
1,0,10,0.212,0.197
1,0,11,0.318,0.22
1,0,12,0.262,0.237
1,1,0,0.033,0.04
1,1,1,0.147,0.151
1,1,2,0.161,0.159
1,1,3,0.084,0.048
1,1,4,0.1,0.154
1,1,5,0.065,0.066
1,1,6,0.016,0.018
1,1,7,0.0,0.0
1,1,8,0.062,0.06
1,1,9,0.041,0.031
1,1,10,0.0,0.0
1,1,11,0.054,0.034
1,1,12,0.115,0.1
1,2,0,0.021,0.027
1,2,1,0.108,0.126
1,2,2,0.174,0.189
1,2,3,0.027,0.012
1,2,4,0.045,0.092
1,2,5,0.032,0.02
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.053,0.039
1,2,9,0.032,0.021
1,2,10,0.0,0.0
1,2,11,0.023,0.014
1,2,12,0.084,0.083
1,3,0,0.026,0.022
1,3,1,0.052,0.053
1,3,2,0.124,0.101
1,3,3,0.139,0.082
1,3,4,0.014,0.012
1,3,5,0.075,0.076
1,3,6,0.025,0.023
1,3,7,0.0,0.0
1,3,8,0.042,0.019
1,3,9,0.027,0.021
1,3,10,0.0,0.0
1,3,11,0.0,0.0
1,3,12,0.0,0.0
1,4,0,0.027,0.034
1,4,1,0.062,0.064
1,4,2,0.122,0.101
1,4,3,0.113,0.072
1,4,4,0.108,0.165
1,4,5,0.072,0.068
1,4,6,0.036,0.045
1,4,7,0.038,0.027
1,4,8,0.089,0.057
1,4,9,0.0,0.0
1,4,10,0.027,0.019
1,4,11,0.0,0.0
1,4,12,0.067,0.082
1,5,0,0.042,0.044
1,5,1,0.058,0.039
1,5,2,0.045,0.027
1,5,3,0.143,0.1
1,5,4,0.108,0.074
1,5,5,0.209,0.24
1,5,6,0.071,0.093
1,5,7,0.031,0.027
1,5,8,0.047,0.028
1,5,9,0.034,0.024
1,5,10,0.019,0.019
1,5,11,0.0,0.0
1,5,12,0.0,0.0
1,6,0,0.026,0.029
1,6,1,0.016,0.012
1,6,2,0.032,0.014
1,6,3,0.038,0.042
1,6,4,0.024,0.012
1,6,5,0.092,0.095
1,6,6,0.117,0.151
1,6,7,0.036,0.027
1,6,8,0.042,0.019
1,6,9,0.0,0.0
1,6,10,0.034,0.019
1,6,11,0.0,0.0
1,6,12,0.0,0.0
1,7,0,0.029,0.02
1,7,1,0.018,0.012
1,7,2,0.023,0.014
1,7,3,0.053,0.024
1,7,4,0.0,0.0
1,7,5,0.042,0.03
1,7,6,0.028,0.021
1,7,7,0.107,0.106
1,7,8,0.0,0.0
1,7,9,0.0,0.0
1,7,10,0.167,0.164
1,7,11,0.0,0.0
1,7,12,0.0,0.0
1,8,0,0.028,0.033
1,8,1,0.064,0.059
1,8,2,0.031,0.027
1,8,3,0.04,0.036
1,8,4,0.131,0.178
1,8,5,0.026,0.02
1,8,6,0.005,0.009
1,8,7,0.051,0.054
1,8,8,0.114,0.083
1,8,9,0.071,0.039
1,8,10,0.051,0.069
1,8,11,0.0,0.0
1,8,12,0.102,0.122
1,9,0,0.027,0.032
1,9,1,0.052,0.044
1,9,2,0.078,0.062
1,9,3,0.0,0.0
1,9,4,0.0,0.0
1,9,5,0.0,0.0
1,9,6,0.0,0.0
1,9,7,0.0,0.0
1,9,8,0.023,0.013
1,9,9,0.248,0.227
1,9,10,0.0,0.0
1,9,11,0.148,0.109
1,9,12,0.049,0.039
1,10,0,0.023,0.017
1,10,1,0.018,0.012
1,10,2,0.023,0.014
1,10,3,0.069,0.036
1,10,4,0.02,0.012
1,10,5,0.042,0.037
1,10,6,0.017,0.009
1,10,7,0.092,0.082
1,10,8,0.0,0.0
1,10,9,0.0,0.0
1,10,10,0.118,0.123
1,10,11,0.0,0.0
1,10,12,0.0,0.0
1,11,0,0.024,0.021
1,11,1,0.051,0.035
1,11,2,0.072,0.064
1,11,3,0.027,0.012
1,11,4,0.0,0.0
1,11,5,0.016,0.01
1,11,6,0.0,0.0
1,11,7,0.0,0.0
1,11,8,0.02,0.009
1,11,9,0.134,0.089
1,11,10,0.0,0.0
1,11,11,0.276,0.179
1,11,12,0.046,0.021
1,12,0,0.032,0.037
1,12,1,0.101,0.108
1,12,2,0.11,0.122
1,12,3,0.037,0.024
1,12,4,0.08,0.101
1,12,5,0.019,0.017
1,12,6,0.017,0.009
1,12,7,0.029,0.027
1,12,8,0.096,0.07
1,12,9,0.091,0.057
1,12,10,0.034,0.019
1,12,11,0.082,0.047
1,12,12,0.149,0.153
